time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot
1582230600,80.0575,80.1875,79.955,80.0625,708836,495766.6,42.30384906800004,44.41351220365194,NaN,NaN,50
1582295400,79.59,80.1025,79.0925,79.32,1191860,541339,29.974069128899146,42.43297794428554,NaN,NaN,50
1582297200,79.325,79.4375,79.1075,79.3725,675740,563641.8,31.494437433828196,40.2794870306969,NaN,NaN,50
1582299000,79.375,79.415,78.9,79.07,592452,581106.2,27.755184871215818,38.38168838010921,NaN,NaN,50
1582300800,79.0775,79.2375,78.91,79.2225,382860,585166.6,32.129983313260794,37.07372806022983,NaN,NaN,50
1582302600,79.2375,79.315,79.1375,79.23,351544,584425.4,32.34696085213355,36.55321175987099,NaN,NaN,50
1582304400,79.265,79.3525,78.98,79.005,394648,580930.6,29.318736729921554,36.03287533250186,NaN,NaN,50
1582306200,79.0175,79.0475,78.67,78.7725,483044,548307.8,26.552524642258277,35.518768736342295,NaN,NaN,50
1582308000,78.775,78.8675,78.595,78.635,438496,538861.8,25.047416900008685,34.40277590462997,NaN,NaN,50
1582309800,78.6325,78.6325,77.805,78.03,1082596,563024.6,19.744206924320906,32.89908917995231,NaN,NaN,50
1582311600,78.0225,78.1525,77.625,77.9125,851268,581950.4,18.906939326490146,31.511928707400525,NaN,NaN,50
1582313400,77.89,78.145,77.845,78.0375,694768,576642.6,22.66412307122191,30.237663019827774,NaN,NaN,50
1582315200,78.0225,78.0725,77.7775,77.8325,675164,569620.2,20.949820121742334,28.662045242958357,NaN,NaN,50
1582317000,77.8375,78.39,77.71,78.26,1507904,615442.8,32.428211029090576,27.9726045294566,NaN,NaN,50
1582554600,74.315,76.03,72.3075,75.6625,2978304,739359.8,16.62875744188237,26.138669413305337,NaN,NaN,50
1582556400,75.69,75.92,74.9125,75.045,1053488,770033.8,14.784612271539572,25.053708209208224,NaN,NaN,50
1582558200,75.035,75.325,74.6025,75.28,920356,804816.2,18.48941347453129,24.124777926401304,NaN,NaN,50
1582560000,75.265,75.33,74.73,75.105,621040,819376.4,17.86648127124684,23.41844195497495,NaN,NaN,50
1582561800,75.11,75.1525,74.6025,74.945,676820,832340,17.292826960593075,22.35864507264154,NaN,NaN,50
1582563600,74.905,74.965,74.5,74.8125,679240,848021.4,16.811437408872578,21.24896482669433,NaN,NaN,50
1582565400,74.7875,75.2375,74.675,75.03,516972,838428.2,20.713189555074564,20.63428288563383,NaN,NaN,50
1582567200,75.0175,75.0175,74.6675,74.955,533476,805509,20.35859621698698,20.19185942668588,NaN,NaN,50
1582569000,74.955,75.165,74.8575,75.0875,453504,794397.2,22.87072634598165,20.036381529969663,NaN,NaN,50
1582570800,75.085,75.225,74.7775,75.1825,572584,793403.8,24.70457802693724,20.39069375158511,NaN,NaN,50
1582572600,75.18,75.625,75.1,75.5375,617692,805145.4,31.279915979022817,21.274477798194592,NaN,NaN,50
1582574400,75.55,75.8225,75.0775,75.1475,1164984,845817.4,28.350804919591084,21.68066935879239,NaN,NaN,50
1582576200,75.15,75.22875,74.52,74.5525,1981028,925136.4,24.570541749837673,21.939292332227772,NaN,NaN,50
1582641000,75.17,75.63,74.72,75.0225,1299580,965963.2,32.25478083841219,21.926904461465032,NaN,NaN,50
1582642800,75.0175,75.2025,74.3275,74.435,1196512,1003864,28.364903652482965,22.76520061936507,NaN,NaN,50
1582644600,74.4525,74.575,73.625,73.8325,1427080,1021088.2,25.03099448997105,23.497085063538748,NaN,NaN,50
1582646400,73.8375,73.9875,72.5875,73.0225,1538504,1055450,21.390889248035194,23.70433333307474,NaN,NaN,50
1582648200,73.0575,74.015,72.8625,73.8425,949496,1068186.4,32.1483498984758,24.72446680644824,NaN,NaN,50
1582650000,73.835,74.1425,73.4625,73.54,634536,1066155,30.490672211177923,25.66717003863287,NaN,NaN,50
1582651800,73.545,73.965,73.3125,73.525,638516,1022685.6,30.406945359226526,26.63827774937244,NaN,NaN,50
1582653600,73.515,73.8525,73.3625,73.5725,808148,914177.8,31.05260355546308,27.376807320828764,NaN,NaN,50
1582655400,73.5775,73.5775,73.1525,73.175,778172,900412,28.65658890403226,27.969521084189143,NaN,NaN,50
1582657200,73.1825,73.2,72.415,72.42,1355548,922171.6,24.7502839963704,28.10377520207405,NaN,NaN,50
1582659000,72.4375,72.825,72.21,72.705,1338056,958022.4,28.70127465803506,28.389253532866753,NaN,NaN,50
1582660800,72.7125,73.12,72.0775,72.17,1121712,980267,25.94714534289335,28.008341344571793,NaN,NaN,50
1582662600,72.1525,72.37,71.5375,72.02,2926980,1092654,25.216526992755746,27.784464349797844,NaN,NaN,50
1582727400,71.6325,73.3525,71.625,73.035,1599096,1146760.2,37.948914335464096,28.740062391628303,NaN,NaN,50
1582729200,73.015,73.935,72.6625,73.705,1025380,1171355.4,44.64821248265719,29.62530750907437,NaN,NaN,50
1582731000,73.6925,74.42,73.68,74.09,1287316,1213046,48.11473908168445,31.036010039731618,NaN,NaN,50
1582732800,74.0975,74.465,73.8125,74.3875,724900,1220661.8,50.68486294973928,32.86842921542935,NaN,NaN,50
1582734600,74.3725,74.3725,73.5825,73.67,901780,1234866.2,44.907277288678074,34.54817121833242,NaN,NaN,50
1582736400,73.6575,73.7125,72.5875,73.19,1064184,1229826.2,41.49918243901956,35.21608782837126,NaN,NaN,50
1582738200,73.225,73.6375,73.225,73.425,605560,1161052.8,43.749942635016446,36.16317857293115,NaN,NaN,50
1582740000,73.4325,73.7025,73.2725,73.555,397884,1115968,45.01034287122475,37.206278395216735,NaN,NaN,50
1582741800,73.55,73.55,72.31,72.675,1022684,1107276.6,38.69040529638085,37.75183566242515,NaN,NaN,50
1582743600,72.7,73.305,72.5575,73.0025,661920,1069018.6,41.95677484941536,38.701848944238236,NaN,NaN,50
1582745400,73.025,73.23,72.78,72.86,681000,1026143.4,40.93485146801094,39.85788947792684,NaN,NaN,50
1582747200,72.875,73.5325,72.8675,73.21,731116,1015224.4,44.50980462725802,40.987070190014194,NaN,NaN,50
1582749000,73.2225,73.3375,73.03,73.1725,1279520,1047473.6,44.20111630537533,42.290925258762904,NaN,NaN,50
1582813800,70.3775,71.4925,70.0225,70.7225,3354536,1183274.6,29.70585455313183,42.61159151307549,NaN,NaN,50
1582815600,70.715,71.015,68.9425,69.285,3002276,1292981,24.606948237589876,41.658593934655904,NaN,NaN,50
1582817400,69.2875,70.3,68.4375,70.2975,3104288,1409286.8,33.292218581905615,40.847451513173645,NaN,NaN,50
1582819200,70.285,71.12,70.175,70.2025,1916156,1437317.2,32.90914528638369,39.76133767065216,NaN,NaN,50
1582821000,70.205,70.5875,69.505,70.525,1327536,1436791.2,35.61745350546546,38.685094138918316,NaN,NaN,50
1582822800,70.505,71.14,70.1725,70.705,1868580,1474134.6,37.142624291098805,38.13047606766265,NaN,NaN,50
1582824600,70.6775,71.4125,70.54,70.5875,1239648,1389768,36.53420905376831,37.77583511157328,NaN,NaN,50
1582826400,70.555,71.055,70.29,70.3075,1095736,1364600,35.0603739744364,37.15515163581756,NaN,NaN,50
1582828200,70.3125,70.825,69.7125,70.1325,1510608,1388861.4,34.13355398980424,36.37823814428752,NaN,NaN,50
1582830000,70.1275,70.255,69.66,70.18,1247840,1386887.6,34.63861095288128,36.08882426260898,NaN,NaN,50
1582831800,70.1925,70.1925,69.515,69.5575,863080,1393796.6,31.256084974162945,35.32448927151953,NaN,NaN,50
1582833600,69.5625,70.19,69.275,69.4375,1488184,1423116.8,30.635036290561942,34.58878818741602,NaN,NaN,50
1582835400,69.47,69.5025,68.24,68.24,3468648,1543340,25.24445064656578,33.21269147450944,NaN,NaN,50
1582900200,64.315,66.3025,64.0925,65.1225,5174300,1771777,16.9048597487636,31.262958863322886,NaN,NaN,50
1582902000,65.105,66.1225,64.2775,65.19,4481584,1975962,17.540050086400925,30.39397282998496,NaN,NaN,50
1582903800,65.21,67.19,65.1675,67.1125,2956040,2072629.8,33.201799760601475,31.007890795914363,NaN,NaN,50
1582905600,67.125,67.405,66.045,67.3825,2242724,2151670,35.06708064529968,31.13466665758537,NaN,NaN,50
1582907400,67.4025,69.58,66.8775,67.5325,3119192,2273579.6,36.1340719590272,31.365018562774193,NaN,NaN,50
