time,open,high,low,close,Volume,Volume MA,OnBalanceVolume,Smoothing Line,ADX,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot
1672165800,1.06401,1.06515,1.06388,1.06488,1598,2474.5,-666631,-667798.6,17.337972391927796,53.04381528429747,46.55695839894289,NaN,NaN,50
1672167600,1.06488,1.06566,1.06442,1.06444,1938,2465.4,-668569,-668310.2,16.58934677141337,50.166238636872194,46.59666686310145,NaN,NaN,50
1672169400,1.06444,1.06446,1.06376,1.06416,2049,2483.85,-670618,-668785.4,15.501333184723082,48.36802798599896,47.1039410877789,NaN,NaN,50
1672171200,1.06416,1.06469,1.06395,1.0641,2005,2484.5,-672623,-669334,14.500163519814043,47.97121339573009,47.80923933253565,NaN,NaN,50
1672173000,1.0641,1.0644,1.06385,1.06412,1569,2476.45,-671054,-669899,13.476565505190688,48.12399083903298,48.57883188199132,NaN,NaN,50
1672174800,1.06412,1.06416,1.06394,1.0641,488,2434.05,-671542,-670881.2,12.526081634469,47.972289062869066,49.56448275907295,NaN,NaN,50
1672176600,1.0641,1.06411,1.06364,1.0638,475,2365.65,-672017,-671570.8,11.927925442056452,45.64781366419644,50.06763673692144,NaN,NaN,50
1672178400,1.0638,1.06454,1.0638,1.06438,67,2275.9,-671950,-671837.2,11.24386877768239,50.62863609753038,49.86192594030878,NaN,NaN,50
1672180200,1.06438,1.0644,1.06418,1.06422,98,2167,-672048,-671722.2,10.608673303620765,49.28682446967646,49.53787633575511,NaN,NaN,50
1672182000,1.06422,1.06422,1.06308,1.06377,1129,2046.5,-673177,-672146.8,10.825585942508257,45.62439198445604,48.90090254399144,NaN,NaN,50
1672183800,1.06377,1.06391,1.06355,1.06372,613,1896.4,-673790,-672596.4,11.027004821475213,45.22229247963485,48.16157915685598,NaN,NaN,50
1672185600,1.06372,1.06429,1.06284,1.06284,2197,1847.4,-675987,-673390.4,11.860100287547645,38.749395035064694,47.43827225538864,NaN,NaN,50
1672187400,1.06284,1.06292,1.0625,1.06284,1912,1750.3,-675987,-674197.8,12.916685938548781,38.749395035064694,46.93362438528821,NaN,NaN,50
1672189200,1.06284,1.06385,1.06272,1.06384,2350,1670.75,-673637,-674515.6,12.711242401522425,48.46999424756561,47.001737015570704,NaN,NaN,50
1672191000,1.06384,1.06432,1.0637,1.06422,2003,1559.15,-671634,-674207,11.99677302983894,51.61255461319496,46.899504110491954,NaN,NaN,50
1672192800,1.06422,1.06422,1.06371,1.06386,1873,1522.4,-673507,-674150.4,11.333337184704275,48.58934624384823,46.786868939561664,NaN,NaN,50
1672194600,1.06386,1.06406,1.06354,1.06367,1419,1465.15,-674926,-673938.2,10.906242302492423,47.02379884736565,46.69085257251643,NaN,NaN,50
1672196400,1.06367,1.06424,1.06354,1.06392,1068,1407,-673858,-673512.4,10.283357614050972,49.33686633524016,46.78839921105287,NaN,NaN,50
1672198200,1.06392,1.06394,1.0632,1.06378,1812,1415.7,-675670,-673919,10.107713513961894,48.07106955325104,46.7846191192113,NaN,NaN,50
1672200000,1.06378,1.0643,1.06372,1.06409,1258,1396.05,-674412,-674474.6,9.469597291962135,51.064926287446326,47.005521778109674,NaN,NaN,50
1672201800,1.06409,1.06449,1.06362,1.06418,1327,1382.5,-673085,-674390.2,8.954090977255287,51.931386707450464,47.454348424056384,NaN,NaN,50
1672203600,1.06418,1.0647,1.06406,1.06462,1410,1356.1,-671675,-673740,8.745962750988742,56.03036996041011,47.840186557119225,NaN,NaN,50
1672205400,1.06462,1.0647,1.06432,1.0646,1164,1311.85,-672839,-673536.2,8.552700826598379,55.79745844004904,48.30523184071727,NaN,NaN,50
1672207200,1.0646,1.06526,1.06444,1.06506,1244,1273.8,-671595,-672721.2,9.091490478755643,59.92381172286517,49.32661896488935,NaN,NaN,50
1672209000,1.06506,1.06506,1.06454,1.06463,1380,1264.35,-672975,-672433.8,9.591795155758819,54.7761935715364,50.00904047145374,NaN,NaN,50
1672210800,1.06463,1.06548,1.0644,1.06528,2026,1341.25,-670949,-672006.6,10.566741777824081,60.324482593466406,51.55011815419672,NaN,NaN,50
1672212600,1.06528,1.06543,1.06444,1.06457,2023,1418.65,-672972,-672266,11.472049355456113,52.7165199566017,52.547769934306515,NaN,NaN,50
1672214400,1.06457,1.06481,1.06408,1.06442,3092,1569.9,-676064,-672911,11.625633349676102,51.24606119295422,52.7460604304057,NaN,NaN,50
1672216200,1.06442,1.0646,1.06343,1.0636,2194,1674.7,-678258,-674243.6,10.891601404390752,44.01768721384724,52.20356990188086,NaN,NaN,50
1672218000,1.0636,1.06378,1.06278,1.06312,2346,1735.55,-680604,-675769.4,11.085646143797913,40.42330687540795,51.6202813755637,NaN,NaN,50
1672219800,1.06312,1.064,1.06302,1.06372,2070,1808.4,-678534,-677286.4,10.914195015810009,46.32361590221633,51.57026830805303,NaN,NaN,50
1672221600,1.06372,1.06413,1.06342,1.06402,1847,1790.9,-676687,-678029.4,10.546663331322213,49.04113615292158,51.549144723601714,NaN,NaN,50
1672223400,1.06402,1.06433,1.06294,1.0634,2203,1805.45,-678890,-678594.6,10.854347529162197,44.07481137144024,51.263697710615226,NaN,NaN,50
1672225200,1.0634,1.06454,1.06314,1.06418,2085,1792.2,-676805,-678304,10.783569184762207,50.82213937656716,51.24635578840957,NaN,NaN,50
1672227000,1.06418,1.06522,1.06385,1.06466,2659,1825,-674146,-677012.4,10.341417136856439,54.46312455552658,51.42719420612929,NaN,NaN,50
1672228800,1.06466,1.06495,1.06368,1.06477,2302,1846.45,-671844,-675674.4,9.675222636058708,55.280242689060024,51.37361368674714,NaN,NaN,50
1672230600,1.06477,1.06577,1.06462,1.06462,2984,1924.7,-674828,-675302.6,10.123628956030494,53.86092796068204,51.23529008107807,NaN,NaN,50
1672232400,1.06462,1.06499,1.06381,1.06414,2776,2010.1,-677604,-675045.4,9.406735812382399,49.482714367705654,50.48949741285238,NaN,NaN,50
1672234200,1.06414,1.0645,1.06338,1.06417,2719,2055.45,-674885,-674661.4,9.264083101781372,49.757603871600885,50.13102671999985,NaN,NaN,50
1672236000,1.06417,1.06576,1.06394,1.06536,2777,2131.4,-672108,-674253.8,9.514172766378001,59.23370670554519,50.05311415657691,NaN,NaN,50
1672237800,1.06536,1.06746,1.06526,1.06574,4894,2309.75,-667214,-673327.8,11.082356764343125,61.71677817620074,50.69598974369113,NaN,NaN,50
1672239600,1.06574,1.06619,1.06411,1.06418,4743,2476.4,-671957,-672753.6,11.269915154985132,48.62322678607985,50.50864442891439,NaN,NaN,50
1672241400,1.06418,1.06426,1.06115,1.06186,5683,2702.35,-677640,-672760.8,11.69856767553035,36.29185381482675,49.956799186127206,NaN,NaN,50
1672243200,1.06186,1.06256,1.0613,1.06172,3698,2825.05,-681338,-674051.4,12.096602158893766,35.70341388435344,49.61966397248045,NaN,NaN,50
1672245000,1.06172,1.06275,1.06164,1.06214,2589,2885.5,-678749,-675379.6,12.299690868063342,38.903875222843844,49.08968249538241,NaN,NaN,50
1672246800,1.06214,1.0633,1.0616,1.06291,2267,2897.55,-676482,-677233.2,12.009186813346599,44.370920410371376,48.75609565662883,NaN,NaN,50
1672248600,1.06291,1.06297,1.06203,1.06292,2430,2917.9,-674052,-677652.2,11.739433048252481,44.440453519531914,48.78221295292109,NaN,NaN,50
1672250400,1.06292,1.06358,1.06284,1.0633,2484,2887.5,-671568,-676437.8,10.949181622423085,47.14410961116346,48.51949654110655,NaN,NaN,50
1672252200,1.0633,1.06344,1.062,1.062,2133,2884.45,-673701,-674910.4,10.881029360700165,39.97695313761001,47.48477001125536,NaN,NaN,50
1672254000,1.062,1.06276,1.0616,1.06252,2275,2880.9,-671426,-673445.8,11.112876671961407,43.66616375602175,46.655192944609766,NaN,NaN,50
1672255800,1.06252,1.06264,1.06148,1.06172,2031,2878.95,-673457,-672840.8,11.417806889635576,39.630488894646646,45.63873301132152,NaN,NaN,50
1672257600,1.06172,1.06178,1.06098,1.0611,1958,2884.5,-675415,-673113.4,12.072930271235748,36.79246285196831,44.73228647448314,NaN,NaN,50
1672259400,1.0611,1.06136,1.06081,1.06082,1574,2853.05,-676989,-674197.6,12.80625990477319,35.55415580927426,43.71775447003124,NaN,NaN,50
1672261200,1.06082,1.06128,1.06067,1.06128,865,2792.05,-676124,-674682.2,13.593547826525842,39.1759935515486,42.2850606733172,NaN,NaN,50
1672263000,1.06128,1.06132,1.06106,1.06122,529,2685.55,-676653,-675727.6,14.272735831561395,38.869149847299234,40.653087221252804,NaN,NaN,50
1672264800,1.06122,1.06146,1.06097,1.06138,57,2573.3,-676596,-676355.4,14.713267911523682,40.2139279665482,40.05242301985768,NaN,NaN,50
1672266600,1.06138,1.06166,1.06124,1.06162,558,2452,-676038,-676480,14.845346993320868,42.26556742355561,40.47911684905261,NaN,NaN,50
1672268400,1.06162,1.0625,1.06158,1.06248,2123,2419.35,-673915,-675865.2,13.909627329544087,49.01703249218103,41.43008960675458,NaN,NaN,50
1672270200,1.06248,1.06293,1.06223,1.0629,1139,2340.35,-672776,-675195.6,13.2673575438781,51.97097742007456,42.36345404941392,NaN,NaN,50
1672272000,1.0629,1.06293,1.06237,1.06248,1488,2275.9,-674264,-674717.8,12.670964171473969,48.91861485496815,42.688289366885115,NaN,NaN,50
1672273800,1.06248,1.06374,1.06234,1.06341,1303,2096.35,-672961,-673990.8,12.96722621414364,55.19386520420621,43.45639020150471,NaN,NaN,50
1672275600,1.06341,1.06342,1.0627,1.06308,1983,1958.35,-674944,-673772,13.242326682336905,52.719001741466286,43.85459678224063,NaN,NaN,50
1672277400,1.06308,1.06333,1.0628,1.06282,1880,1768.2,-676824,-674353.8,13.497777117087791,50.78678753976248,44.62672781096581,NaN,NaN,50
1672279200,1.06282,1.0633,1.06282,1.06292,1225,1644.55,-675599,-674918.4,13.734981092213616,51.52271951961006,45.18791036550783,NaN,NaN,50
1672281000,1.06292,1.06297,1.06256,1.06256,1244,1577.3,-676843,-675434.2,13.527451382768676,48.699358680526295,45.83568677878494,NaN,NaN,50
1672282800,1.06256,1.0628,1.06214,1.06237,1381,1533,-678224,-676486.8,12.686510394293832,47.22837979492665,46.58110941756769,NaN,NaN,50
1672284600,1.06237,1.06244,1.062,1.06233,1222,1472.6,-679446,-677387.2,11.862569899882063,46.907151838839965,47.39203770539381,NaN,NaN,50
1672286400,1.06233,1.06235,1.06195,1.06208,803,1388.55,-680249,-678072.2,11.174185221025157,44.853750906157636,47.7975918021516,NaN,NaN,50
1672288200,1.06208,1.06262,1.06192,1.06254,829,1323.35,-679420,-678836.4,10.650970349783798,49.25550831635358,48.5394745499412,NaN,NaN,50
1672290000,1.06254,1.06291,1.06232,1.06256,919,1255.55,-678501,-679168,10.606818032328162,49.44445348123746,49.19879780099044,NaN,NaN,50
1672291800,1.06256,1.0627,1.06214,1.06249,1059,1206.95,-679560,-679435.2,10.241877924124289,48.760125312416704,49.662694793051934,NaN,NaN,50
1672293600,1.06249,1.0627,1.06186,1.06196,1247,1171.4,-680807,-679707.4,9.604324717991924,43.815461803999874,49.29115402961043,NaN,NaN,50
1672295400,1.06196,1.06198,1.06112,1.06142,1515,1168.45,-682322,-680122,10.106859345378929,39.428309968519876,48.39524921164224,NaN,NaN,50
1672297200,1.06142,1.062,1.06122,1.06158,1733,1211.85,-680589,-680355.8,10.53601341688576,41.30363849055819,47.8513223284701,NaN,NaN,50
1672299000,1.06158,1.0625,1.06132,1.06234,1691,1269.95,-678898,-680435.2,10.038388031883924,49.32869421492675,47.432381543521565,NaN,NaN,50
1672300800,1.06234,1.06422,1.06225,1.06387,2913,1412.75,-675985,-679720.2,11.181085710176937,60.91427006139547,48.01775785208793,NaN,NaN,50
1672302600,1.06387,1.06428,1.06295,1.06303,2473,1508.5,-678458,-679250.4,12.29829281075316,53.660220474409506,48.22300306170558,NaN,NaN,50
1672304400,1.06303,1.06444,1.06303,1.06363,2473,1526,-675985,-677983,13.490460608062554,57.54894034095271,48.653447406087196,NaN,NaN,50
1672306200,1.06363,1.06582,1.06354,1.06563,2582,1598.15,-673403,-676545.8,15.691526790610673,67.37651717592321,49.98753015575841,NaN,NaN,50
1672308000,1.06563,1.06565,1.06394,1.06414,2424,1644.95,-675827,-675931.6,17.73537396011964,56.82247111802706,50.67282239312272,NaN,NaN,50
1672309800,1.06414,1.06418,1.06316,1.06362,2139,1686.75,-677966,-676327.8,18.35637171139057,53.66318725322277,51.155396351292914,NaN,NaN,50
1672311600,1.06362,1.06393,1.06327,1.06354,1445,1659.85,-679411,-676518.4,18.933012480427863,53.17337003712771,51.74965486064792,NaN,NaN,50
1672313400,1.06354,1.0641,1.06336,1.06382,1709,1651.3,-677702,-676861.8,19.628015446519072,54.7308159611362,52.140748263846675,NaN,NaN,50
1672315200,1.06382,1.06424,1.06366,1.06398,1787,1679.4,-675915,-677364.2,20.406983568977697,55.63878315725812,52.58320038356244,NaN,NaN,50
1672317000,1.06398,1.06534,1.06377,1.06525,2144,1724.4,-673771,-676953,22.031297974944625,62.13134115381092,53.53828722937631,NaN,NaN,50
1672318800,1.06525,1.06542,1.06451,1.06462,2975,1804.1,-676746,-676709,23.596533268452692,57.62576241736938,54.52473727318842,NaN,NaN,50
1672320600,1.06462,1.06672,1.06455,1.0655,5020,1994,-671726,-675172,25.838903139045943,61.79353071677482,56.12225304092092,NaN,NaN,50
1672322400,1.0655,1.0663,1.06486,1.06578,4244,2166.05,-667482,-673128,27.921103733168245,63.039200887179106,57.67479321210812,NaN,NaN,50
1672324200,1.06578,1.06702,1.06391,1.06447,5487,2398.95,-672969,-672538.8,28.270381249235733,54.14472681493493,58.01879554068013,NaN,NaN,50
1672326000,1.06447,1.06547,1.06365,1.06526,4717,2588.85,-668252,-671435,28.21079731546084,57.99385910875916,57.81019475834897,NaN,NaN,50
1672327800,1.06526,1.06698,1.06498,1.06669,4688,2770.3,-663564,-668798.6,29.202397219436172,63.90082495389329,58.54166650688352,NaN,NaN,50
1672329600,1.06669,1.0671,1.0657,1.06632,3749,2895.4,-667313,-667916,30.193455064414206,61.49138386636363,58.823269615841454,NaN,NaN,50
1672331400,1.06632,1.06708,1.0663,1.06662,2504,2944.85,-664809,-667381.4,31.11372306332238,62.71883315288212,58.490577899909944,NaN,NaN,50
1672333200,1.06662,1.06708,1.06647,1.06692,1767,2946.55,-663042,-665396,31.968257633737114,63.9560965002073,59.00012257006567,NaN,NaN,50
1672335000,1.06692,1.06906,1.06658,1.0682,2585,2991.25,-660457,-663837,33.81631199237705,68.72523661378646,60.07598323867736,NaN,NaN,50
1672336800,1.0682,1.06834,1.0674,1.06772,2573,2974.25,-663030,-663730.2,35.53236246825699,65.23919316267992,60.93782774764538,NaN,NaN,50
1672338600,1.06772,1.068,1.06712,1.06749,1852,2943.2,-664882,-663244,36.66582019985458,63.57511026833798,61.569563055302645,NaN,NaN,50
